name,officer_name,title,department_name,state_abbreviation,cause,date,year,weekday,canine,url,photo_url,incident_description,age,tour,badge,weapon,offender,lat,lon
Deputy Sheriff Justin Smith,Justin Smith,Deputy,Stone County Sheriff's Office,AR,Gunfire,2024-01-02,2024,Tuesday,False,https://www.odmp.org/officer/26884-deputy-sheriff-justin-smith,26884/125/c_justin-smith.jpg,"Deputy Sheriff Justin Smith was shot and killed while serving a warrant at the 300 block of Sawmill Road in Mountain View, Arkansas, at 4:30 p.m.

When Deputy Smith attempted to arrest the subject for terroristic threats, he was shot. 

The subject was apprehended after a brief standoff and charged with capital murder.

Deputy Smith had served with the Stone County Sheriff's Office for 14 years and previously served with the Jackson County Sheriff's Office and Independence County Sheriff's Office. He is survived by his wife, three sons, three stepchildren, two brothers, two sisters, and 14 grandchildren.",60,24 years,512,Not available,In custody,35.9096070,-92.1213919
Deputy Sheriff Eric Anthony Minix,Eric Anthony Minix,Deputy,Coweta County Sheriff's Office,GA,Struck by vehicle,2024-01-04,2024,Thursday,False,https://www.odmp.org/officer/26886-deputy-sheriff-eric-anthony-minix,26886/125/c_eric-minix.jpg,"Deputy Sheriff Eric Minix died as a result of being struck by a police car while in a vehicle pursuit in Chambers County, Alabama.  

The pursuit began in Coweta County, Georgia, before crossing the state line into Alabama on I-85. An officer from Alabama successfully deployed spike strips, which caused the suspect vehicle to come to a stop. Deputy Minix exited his car and was giving commands to the driver when another officer arriving at the scene inadvertently struck him. He was transported to a local hospital where he succumbed to his injuries. 

At least seven law enforcement agencies were assisting in apprehending the subject, who was driving a stolen vehicle. The subject was arrested at the scene. 

Deputy Sheriff Minix had served with the Coweta County Sheriff's Office for 4-1/2 years and served on the canine unit. He had previously served with the Tyrone Police Department for over five years.  He is survived by his wife, three daughters, father and stepmother, and four sisters.

He was posthumously awarded the 2023 Officer of the Year.",31,10 years,145,Automobile,In custody,32.8418811,-85.1925026
Deputy Sheriff Jeremy Malone,Jeremy Malone,Deputy,George County Sheriff's Office,MS,Gunfire,2024-01-04,2024,Thursday,False,https://www.odmp.org/officer/26887-deputy-sheriff-jeremy-malone,26887/125/c_jeremy-malone.jpg,"Deputy Sheriff Jeremy Malone was shot and killed during a traffic stop in front of 12298 US Highway 98 at about 5:15 pm.

He was shot as he approached the vehicle. The suspect fled after shooting Deputy Malone and led officers on a pursuit through multiple counties before being shot and killed near Beaumont, Mississippi.

Deputy Malone had served in law enforcement for 21 years, serving with the George County Sheriff's Office and previously served with the Leakesville Police Department, Jackson County Sheriff’s Department, Biloxi Police Department, and Greene County Sheriff’s Department He is survived by his wife, three daughters, mother, and two brothers.",44,23 years,Not available,Gun; Unknown type,Shot and killed,30.9215764,-88.5058196
Sergeant William A. Burkel,William A. Burkel,Sergeant,New York City Police Department,NY,9/11 related illness,2024-01-15,2024,Monday,False,https://www.odmp.org/officer/27174-sergeant-william-a-burkel,27174/125/W_burkel.jpg,"Sergeant William Burkel died as the result of gastrointestinal issues that he developed following his assignment to the search and recovery efforts at the World Trade Center site following the 9/11 Terrorist Attacks.

Sergeant Burkel had served with the New York City Police Department for 20 years. He was survived by his wife, son, daughter, mother, and sister.",57,20 years,Not available,Aircraft; Passenger jet,19 suicide attackers,40.7117582,-74.0130653
Lieutenant David J. McShane,David J. McShane,Lieutenant,New York State Environmental Conservation Police,NY,9/11 related illness,2024-01-23,2024,Tuesday,False,https://www.odmp.org/officer/26910-lieutenant-david-j-mcshane,26910/125/c_david-mcshane.jpg,"Lieutenant David McShane died as the result of cancer that he developed following his assignment to the search and recovery efforts at the World Trade Center site following the 9/11 Terrorist Attacks.

Lieutenant McShane had served with the New York State Environmental Conservation Police for 23 years. He was survived by his wife, three children, his mother, three sisters, and three brothers.",50,23 years,399,Aircraft; Passenger jet,19 suicide attackers,40.7119779,-74.0133405
Trooper Joel Popp,Joel Popp,Trooper,Michigan State Police,MI,Struck by vehicle,2024-01-24,2024,Wednesday,False,https://www.odmp.org/officer/26898-trooper-joel-popp,26898/125/trooper-joel-popp.jpg,"Trooper Joel Popp was struck and killed by a vehicle while assisting with a DUI investigation on northbound I-75 near Birch Run at about 7:10 pm.

He was standing outside of his vehicle when another motorist struck him and two patrol cars. Trooper Popp was transported to Hurley Medical Center where he succumbed to his injuries.

The 81-year-old driver sustained serious injuries. 

Trooper Popp had served with the Michigan State Police for four years and was assigned to the Tri-City Post. He is survived by his wife, daughter, parents, two brothers, and grandparents.",39,4 years,1779,,,43.2427336,-83.7697516
"Sergeant Michael ""Zini"" Kurinzi","Michael ""Zini"" Kurinzi",Sergeant,Elizabeth Police Department,NJ,9/11 related illness,2024-01-27,2024,Saturday,False,https://www.odmp.org/officer/26920-sergeant-michael-zini-kurinzi,26920/125/c_kurinzi_m.jpg,"Sergeant Mike Kurinzi died as the result of cancer that he developed following his assignment to the search and recovery efforts at the World Trade Center site following the 9/11 Terrorist Attacks.

Sergeant Kurinzi was a United States Marine Corps veteran and had served with the Elizabeth Police Department for 20 years. He is survived by his wife, son, and daughter.",51,20 years,Not available,Aircraft; Passenger jet,19 suicide attackers,40.7117483,-74.0134658
Trooper Jimmy Cenescar,Jimmy Cenescar,Trooper,Georgia State Patrol,GA,Automobile crash,2024-01-28,2024,Sunday,False,https://www.odmp.org/officer/26908-trooper-jimmy-cenescar,26908/125/c_tpr_cenescar_odmp_photo.jpg,"Trooper Jimmy Cenescar was killed in a single-vehicle crash attempting to stop a fleeing motorcycle on Interstate 85 North at 5:39 p.m. 

While pursuing a motorcycle for a traffic violation, Trooper Cenescar lost control of his patrol vehicle near Old Peachtree Road in Atlanta while maneuvering to avoid putting other drivers in danger. The motorcycle was traveling up to speeds of 140 miles per hour and weaving erratically between lanes. When the motorcycle made another lane split with vehicles in both lanes, Trooper Cenescar took evasive action to avoid the other vehicles, and his vehicle left the road and struck an embankment. He was transported to Northside Gwinnett Hospital where he succumbed to his injuries.  

The motorcycle driver continued to flee northbound. The subject was arrested a few days later and charged with felony murder, first-degree homicide, felony fleeing and attempting to elude, and reckless driving. He was sentenced to twenty years, with 17 years in prison, after pleading guilty to vehicular homicide, reckless driving, speeding, two counts each of driving without a license, operating a vehicle without insurance, and operating an unregistered vehicle. 

Trooper Cenescar had served with the Georgia State Patrol for one year, assigned to Post 9, Marietta. He previously served with the Atlanta Police Department for two years. He is survived by his parents, sister, three brothers, grandmother, cousins, and fiancée.",28,3 years,436,Automobile,20 years,34.0333881,-84.0438670
Trooper Zachary Fink,Zachary Fink,Trooper,Florida Highway Patrol,FL,Automobile crash,2024-02-02,2024,Friday,False,https://www.odmp.org/officer/26913-trooper-zachary-fink,26913/125/c_fink.jpg,"Trooper Zachary Fink was killed in a vehicle crash during a pursuit on Interstate 95 north at Crosstown Parkway near Port St. Lucie at 3:00 a.m. 

At 2:40 am, the subject was speeding and reckless driving on I-95, and St. Lucie deputies attempted to initiate a traffic stop. Other agencies joined the pursuit when the subject did not stop. The subject made a U-turn on Interstate 95, driving southbound in the northbound lanes on I-95. Trooper Fink initiated a U-turn to stop the vehicle and was struck by a semi-tractor trailer. 

Trooper Fink was transported to HCA Lawnwood Hospital where he succumbed to his injuries. The driver of the tractor-trailer was also killed. 

The pursuit continued, with the subject driving the wrong way on I-95. He eventually crashed and fled on foot. He was apprehended at 8:06 a.m.

Trooper Fink had served with the Florida Highway Patrol for three years. He is survived by his mother, father, and fiancée.",26,3 years,1550,Automobile,In custody,27.2944365,-80.4173684
Chief Deputy Sheriff Ken Prorok,Chief   Ken Prorok,Deputy,Moody County Sheriff's Office,SD,Struck by vehicle,2024-02-02,2024,Friday,False,https://www.odmp.org/officer/26914-chief-deputy-sheriff-ken-prorok,26914/125/c_prorok-ken.jpg,"Chief Deputy Sheriff Ken Prorok was struck and killed by the driver of a vehicle being pursued by the Madison Police Department at 4:12 p.m. 

Chief Deputy Prorok responded to the call for assistance and was deploying spike strips at South Dakota Highway 34 and 472nd Avenue in Colman. The driver intentionally swerved toward Chief Deputy Prorok, killing him. 

The subject has been charged with one count of first-degree murder and one count of aggravated eluding.  

Chief Deputy Prorok had served with the Moody County Sheriff's Office for almost eight years. He is survived by his wife, a son, and two daughters.",51,"7 years, 11 months",52-1B,Automobile,Charged with murder,43.9788171,-96.7687281
